2022-01-05 00:22:12  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/41  ACTION: GET
2022-01-05 00:22:12  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/41  ACTION: change unit fields ['comment']
2022-01-05 00:22:12  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/41  ACTION: GET
2022-01-05 00:24:46  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/41  ACTION: GET
2022-01-05 00:24:46  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/41  ACTION: change unit fields ['comment']
2022-01-05 00:24:46  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/41  ACTION: GET
2022-01-05 00:24:47  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/41  ACTION: GET
2022-01-05 00:24:47  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/41  ACTION: change unit fields ['comment']
2022-01-05 00:24:47  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/41  ACTION: GET
2022-01-05 00:24:47  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/41  ACTION: GET
2022-01-05 00:24:47  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/41  ACTION: change unit fields ['comment']
2022-01-05 00:24:47  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/41  ACTION: GET
2022-01-05 00:24:51  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/41  ACTION: GET
2022-01-05 00:24:51  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/41  ACTION: change unit fields ['comment']
2022-01-05 00:24:51  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/41  ACTION: GET
2022-01-05 00:24:54  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/41  ACTION: GET
2022-01-05 00:24:54  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/41  ACTION: change unit fields ['comment']
2022-01-05 00:24:54  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/41  ACTION: GET
2022-01-05 00:24:55  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/41  ACTION: GET
2022-01-05 00:24:55  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/41  ACTION: change unit fields ['comment']
2022-01-05 00:24:55  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/41  ACTION: GET
2022-01-05 00:24:56  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/41  ACTION: GET
2022-01-05 00:24:56  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/41  ACTION: change unit fields ['comment']
2022-01-05 00:24:56  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/41  ACTION: GET
2022-01-05 00:24:57  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/41  ACTION: GET
2022-01-05 00:24:57  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/41  ACTION: change unit fields ['comment']
